birth	death	midlife	lifetime
-76.0	-75.0	-75.5	1.0
-61.0	-28.0	-44.5	33.0
-59.0	-1.0	-30.0	58.0
-50.0	-41.0	-45.5	9.0
-49.0	-22.0	-35.5	27.0
-49.0	-48.0	-48.5	1.0
-49.0	-48.0	-48.5	1.0
-47.0	-46.0	-46.5	1.0
-47.0	-46.0	-46.5	1.0
-43.0	-23.0	-33.0	20.0
-43.0	-42.0	-42.5	1.0
-43.0	-42.0	-42.5	1.0
-43.0	-42.0	-42.5	1.0
-43.0	-42.0	-42.5	1.0
-43.0	-42.0	-42.5	1.0
-43.0	-42.0	-42.5	1.0
-42.0	-38.0	-40.0	4.0
-42.0	-10.0	-26.0	32.0
-42.0	-27.0	-34.5	15.0
-41.0	-40.0	-40.5	1.0
-41.0	-40.0	-40.5	1.0
-41.0	-40.0	-40.5	1.0
-39.0	-36.0	-37.5	3.0
-38.0	-32.0	-35.0	6.0
-37.0	-36.0	-36.5	1.0
-37.0	-36.0	-36.5	1.0
-37.0	-36.0	-36.5	1.0
-37.0	-36.0	-36.5	1.0
-37.0	-36.0	-36.5	1.0
-37.0	-36.0	-36.5	1.0
-37.0	-36.0	-36.5	1.0
-37.0	-36.0	-36.5	1.0
-37.0	-36.0	-36.5	1.0
-37.0	-36.0	-36.5	1.0
-37.0	-36.0	-36.5	1.0
-37.0	-36.0	-36.5	1.0
-37.0	-36.0	-36.5	1.0
-37.0	-36.0	-36.5	1.0
-37.0	-36.0	-36.5	1.0
-37.0	-36.0	-36.5	1.0
-37.0	-36.0	-36.5	1.0
-36.0	-35.0	-35.5	1.0
-36.0	-35.0	-35.5	1.0
-36.0	-35.0	-35.5	1.0
-35.0	-29.0	-32.0	6.0
-34.0	-33.0	-33.5	1.0
-34.0	-20.0	-27.0	14.0
-34.0	-33.0	-33.5	1.0
-34.0	-33.0	-33.5	1.0
-34.0	-33.0	-33.5	1.0
-34.0	-33.0	-33.5	1.0
-34.0	-33.0	-33.5	1.0
-34.0	-33.0	-33.5	1.0
-34.0	-33.0	-33.5	1.0
-34.0	-33.0	-33.5	1.0
-34.0	-33.0	-33.5	1.0
-34.0	-33.0	-33.5	1.0
-34.0	-33.0	-33.5	1.0
-34.0	-33.0	-33.5	1.0
-34.0	-33.0	-33.5	1.0
-34.0	-33.0	-33.5	1.0
-34.0	-33.0	-33.5	1.0
-34.0	-33.0	-33.5	1.0
-34.0	-33.0	-33.5	1.0
-34.0	-33.0	-33.5	1.0
-34.0	-33.0	-33.5	1.0
-34.0	-33.0	-33.5	1.0
-34.0	-33.0	-33.5	1.0
-34.0	-33.0	-33.5	1.0
-34.0	-33.0	-33.5	1.0
-34.0	-33.0	-33.5	1.0
-34.0	-33.0	-33.5	1.0
-34.0	-33.0	-33.5	1.0
-34.0	-33.0	-33.5	1.0
-34.0	-33.0	-33.5	1.0
-34.0	-33.0	-33.5	1.0
-33.0	-11.0	-22.0	22.0
-33.0	-15.0	-24.0	18.0
-33.0	-15.0	-24.0	18.0
-33.0	-30.0	-31.5	3.0
-32.0	-23.0	-27.5	9.0
-32.0	-27.0	-29.5	5.0
-32.0	-19.0	-25.5	13.0
-32.0	-31.0	-31.5	1.0
-32.0	-31.0	-31.5	1.0
-32.0	-31.0	-31.5	1.0
-32.0	-31.0	-31.5	1.0
-32.0	-31.0	-31.5	1.0
-32.0	-31.0	-31.5	1.0
-32.0	-31.0	-31.5	1.0
-32.0	-31.0	-31.5	1.0
-32.0	-31.0	-31.5	1.0
-31.0	-19.0	-25.0	12.0
-31.0	-30.0	-30.5	1.0
-31.0	-30.0	-30.5	1.0
-31.0	-30.0	-30.5	1.0
-31.0	-30.0	-30.5	1.0
-31.0	-30.0	-30.5	1.0
-31.0	-30.0	-30.5	1.0
-31.0	-30.0	-30.5	1.0
-31.0	-30.0	-30.5	1.0
-31.0	-30.0	-30.5	1.0
-31.0	-30.0	-30.5	1.0
-31.0	-30.0	-30.5	1.0
-31.0	-30.0	-30.5	1.0
-31.0	-30.0	-30.5	1.0
-31.0	-6.0	-18.5	25.0
-31.0	-23.0	-27.0	8.0
-31.0	-30.0	-30.5	1.0
-31.0	-30.0	-30.5	1.0
-31.0	-30.0	-30.5	1.0
-31.0	-30.0	-30.5	1.0
-31.0	-30.0	-30.5	1.0
-31.0	-30.0	-30.5	1.0
-31.0	-30.0	-30.5	1.0
-31.0	-30.0	-30.5	1.0
-31.0	-30.0	-30.5	1.0
-31.0	-30.0	-30.5	1.0
-31.0	-30.0	-30.5	1.0
-31.0	-30.0	-30.5	1.0
-31.0	-30.0	-30.5	1.0
-31.0	-30.0	-30.5	1.0
-31.0	-30.0	-30.5	1.0
-31.0	-30.0	-30.5	1.0
-31.0	-30.0	-30.5	1.0
-31.0	-30.0	-30.5	1.0
-31.0	-30.0	-30.5	1.0
-30.0	-25.0	-27.5	5.0
-30.0	-22.0	-26.0	8.0
-30.0	-29.0	-29.5	1.0
-30.0	-29.0	-29.5	1.0
-29.0	-20.0	-24.5	9.0
-29.0	-25.0	-27.0	4.0
-28.0	-27.0	-27.5	1.0
-28.0	-27.0	-27.5	1.0
-28.0	-27.0	-27.5	1.0
-28.0	-27.0	-27.5	1.0
-28.0	-27.0	-27.5	1.0
-28.0	-27.0	-27.5	1.0
-28.0	-27.0	-27.5	1.0
-28.0	-27.0	-27.5	1.0
-28.0	-7.0	-17.5	21.0
-27.0	-12.0	-19.5	15.0
-27.0	-26.0	-26.5	1.0
-27.0	-26.0	-26.5	1.0
-27.0	-26.0	-26.5	1.0
-27.0	-26.0	-26.5	1.0
-27.0	-24.0	-25.5	3.0
-27.0	-26.0	-26.5	1.0
-27.0	-26.0	-26.5	1.0
-27.0	-22.0	-24.5	5.0
-27.0	-7.0	-17.0	20.0
-27.0	-26.0	-26.5	1.0
-27.0	-26.0	-26.5	1.0
-27.0	-26.0	-26.5	1.0
-27.0	-26.0	-26.5	1.0
-27.0	-26.0	-26.5	1.0
-27.0	-26.0	-26.5	1.0
-27.0	-22.0	-24.5	5.0
-26.0	-25.0	-25.5	1.0
-26.0	-25.0	-25.5	1.0
-26.0	-25.0	-25.5	1.0
-26.0	-25.0	-25.5	1.0
-26.0	-25.0	-25.5	1.0
-26.0	-25.0	-25.5	1.0
-26.0	-25.0	-25.5	1.0
-26.0	-25.0	-25.5	1.0
-26.0	-25.0	-25.5	1.0
-26.0	-25.0	-25.5	1.0
-26.0	-25.0	-25.5	1.0
-26.0	-25.0	-25.5	1.0
-26.0	-25.0	-25.5	1.0
-26.0	-25.0	-25.5	1.0
-26.0	-25.0	-25.5	1.0
-26.0	-25.0	-25.5	1.0
-26.0	-25.0	-25.5	1.0
-26.0	-13.0	-19.5	13.0
-26.0	-25.0	-25.5	1.0
-26.0	-23.0	-24.5	3.0
-26.0	-25.0	-25.5	1.0
-26.0	-25.0	-25.5	1.0
-26.0	-23.0	-24.5	3.0
-26.0	-25.0	-25.5	1.0
-26.0	-25.0	-25.5	1.0
-26.0	-25.0	-25.5	1.0
-26.0	-25.0	-25.5	1.0
-26.0	-25.0	-25.5	1.0
-26.0	-25.0	-25.5	1.0
-26.0	-25.0	-25.5	1.0
-26.0	-25.0	-25.5	1.0
-26.0	-25.0	-25.5	1.0
-26.0	-25.0	-25.5	1.0
-25.0	-24.0	-24.5	1.0
-25.0	-24.0	-24.5	1.0
-25.0	-24.0	-24.5	1.0
-25.0	-24.0	-24.5	1.0
-25.0	-24.0	-24.5	1.0
-25.0	-24.0	-24.5	1.0
-25.0	-24.0	-24.5	1.0
-25.0	-24.0	-24.5	1.0
-25.0	-24.0	-24.5	1.0
-25.0	-24.0	-24.5	1.0
-25.0	-15.0	-20.0	10.0
-25.0	-24.0	-24.5	1.0
-25.0	-24.0	-24.5	1.0
-25.0	-24.0	-24.5	1.0
-25.0	-24.0	-24.5	1.0
-25.0	-24.0	-24.5	1.0
-25.0	-24.0	-24.5	1.0
-25.0	-24.0	-24.5	1.0
-25.0	-24.0	-24.5	1.0
-25.0	-24.0	-24.5	1.0
-25.0	-24.0	-24.5	1.0
-25.0	-24.0	-24.5	1.0
-25.0	-24.0	-24.5	1.0
-25.0	-24.0	-24.5	1.0
-25.0	-24.0	-24.5	1.0
-25.0	-24.0	-24.5	1.0
-25.0	-24.0	-24.5	1.0
-25.0	-24.0	-24.5	1.0
-25.0	-24.0	-24.5	1.0
-25.0	-24.0	-24.5	1.0
-25.0	-22.0	-23.5	3.0
-24.0	-22.0	-23.0	2.0
-24.0	-23.0	-23.5	1.0
-24.0	-7.0	-15.5	17.0
-24.0	-22.0	-23.0	2.0
-24.0	-16.0	-20.0	8.0
-24.0	-23.0	-23.5	1.0
-24.0	-23.0	-23.5	1.0
-24.0	-23.0	-23.5	1.0
-23.0	-17.0	-20.0	6.0
-23.0	-22.0	-22.5	1.0
-23.0	-22.0	-22.5	1.0
