birth	death	midlife	lifetime
-31.0	-17.0	-24.0	14.0
-30.0	-29.0	-29.5	1.0
-29.0	-26.0	-27.5	3.0
-28.0	-14.0	-21.0	14.0
-25.0	-24.0	-24.5	1.0
-24.0	-22.0	-23.0	2.0
-23.0	-7.0	-15.0	16.0
-22.0	1.0	-10.5	23.0
-22.0	-20.0	-21.0	2.0
-21.0	-16.0	-18.5	5.0
-21.0	-8.0	-14.5	13.0
-21.0	-12.0	-16.5	9.0
-20.0	-18.0	-19.0	2.0
-20.0	-19.0	-19.5	1.0
-20.0	-19.0	-19.5	1.0
-20.0	-19.0	-19.5	1.0
-20.0	-19.0	-19.5	1.0
-19.0	-18.0	-18.5	1.0
-19.0	-8.0	-13.5	11.0
-19.0	-18.0	-18.5	1.0
-19.0	-9.0	-14.0	10.0
-18.0	-9.0	-13.5	9.0
-18.0	-17.0	-17.5	1.0
-18.0	-17.0	-17.5	1.0
-17.0	-1.0	-9.0	16.0
-17.0	-16.0	-16.5	1.0
-17.0	-16.0	-16.5	1.0
-17.0	-16.0	-16.5	1.0
-17.0	-16.0	-16.5	1.0
-17.0	-16.0	-16.5	1.0
-17.0	-13.0	-15.0	4.0
-17.0	-16.0	-16.5	1.0
-17.0	-16.0	-16.5	1.0
-17.0	-16.0	-16.5	1.0
-17.0	-16.0	-16.5	1.0
-17.0	-13.0	-15.0	4.0
-17.0	-16.0	-16.5	1.0
-17.0	-16.0	-16.5	1.0
-17.0	-16.0	-16.5	1.0
-17.0	-15.0	-16.0	2.0
-17.0	-16.0	-16.5	1.0
-17.0	-16.0	-16.5	1.0
-17.0	-16.0	-16.5	1.0
-17.0	-16.0	-16.5	1.0
-17.0	-16.0	-16.5	1.0
-17.0	-16.0	-16.5	1.0
-17.0	-16.0	-16.5	1.0
-17.0	-12.0	-14.5	5.0
-17.0	-14.0	-15.5	3.0
-16.0	-1.0	-8.5	15.0
-16.0	-14.0	-15.0	2.0
-16.0	-15.0	-15.5	1.0
-16.0	-15.0	-15.5	1.0
-16.0	-15.0	-15.5	1.0
-16.0	-15.0	-15.5	1.0
-16.0	-15.0	-15.5	1.0
-16.0	-15.0	-15.5	1.0
-16.0	-15.0	-15.5	1.0
-16.0	-15.0	-15.5	1.0
-16.0	-15.0	-15.5	1.0
-16.0	-15.0	-15.5	1.0
-15.0	-2.0	-8.5	13.0
-15.0	1.0	-7.0	16.0
-15.0	-14.0	-14.5	1.0
-15.0	-14.0	-14.5	1.0
-15.0	-1.0	-8.0	14.0
-15.0	-14.0	-14.5	1.0
-15.0	-14.0	-14.5	1.0
-15.0	-14.0	-14.5	1.0
-15.0	-14.0	-14.5	1.0
-15.0	-14.0	-14.5	1.0
-15.0	-14.0	-14.5	1.0
-15.0	-14.0	-14.5	1.0
-15.0	-14.0	-14.5	1.0
-15.0	-14.0	-14.5	1.0
-15.0	-6.0	-10.5	9.0
-15.0	-14.0	-14.5	1.0
-15.0	-10.0	-12.5	5.0
-15.0	-14.0	-14.5	1.0
-15.0	-14.0	-14.5	1.0
-15.0	-8.0	-11.5	7.0
-15.0	-1.0	-8.0	14.0
-15.0	-7.0	-11.0	8.0
-15.0	-14.0	-14.5	1.0
-15.0	-14.0	-14.5	1.0
-15.0	-7.0	-11.0	8.0
-15.0	-13.0	-14.0	2.0
-15.0	-10.0	-12.5	5.0
-15.0	-14.0	-14.5	1.0
-15.0	-14.0	-14.5	1.0
-15.0	-14.0	-14.5	1.0
-15.0	-14.0	-14.5	1.0
-15.0	-14.0	-14.5	1.0
-15.0	-14.0	-14.5	1.0
-15.0	-14.0	-14.5	1.0
-15.0	-14.0	-14.5	1.0
-15.0	-14.0	-14.5	1.0
-15.0	-14.0	-14.5	1.0
-15.0	-14.0	-14.5	1.0
-15.0	-14.0	-14.5	1.0
-15.0	-9.0	-12.0	6.0
-15.0	-13.0	-14.0	2.0
-15.0	-14.0	-14.5	1.0
-15.0	-14.0	-14.5	1.0
-15.0	-14.0	-14.5	1.0
-14.0	-12.0	-13.0	2.0
-14.0	-13.0	-13.5	1.0
-14.0	-2.0	-8.0	12.0
-14.0	-13.0	-13.5	1.0
-14.0	-9.0	-11.5	5.0
-14.0	-13.0	-13.5	1.0
-14.0	-13.0	-13.5	1.0
-14.0	-2.0	-8.0	12.0
-14.0	-13.0	-13.5	1.0
-14.0	-13.0	-13.5	1.0
-14.0	-13.0	-13.5	1.0
-14.0	-13.0	-13.5	1.0
-14.0	-13.0	-13.5	1.0
-14.0	-13.0	-13.5	1.0
-14.0	-13.0	-13.5	1.0
-14.0	-9.0	-11.5	5.0
-14.0	-8.0	-11.0	6.0
-14.0	-13.0	-13.5	1.0
-14.0	-13.0	-13.5	1.0
-14.0	-13.0	-13.5	1.0
-14.0	-13.0	-13.5	1.0
-14.0	-13.0	-13.5	1.0
-14.0	-13.0	-13.5	1.0
-14.0	-13.0	-13.5	1.0
-14.0	-13.0	-13.5	1.0
-14.0	-13.0	-13.5	1.0
-14.0	-13.0	-13.5	1.0
-14.0	-13.0	-13.5	1.0
-14.0	-13.0	-13.5	1.0
-14.0	-13.0	-13.5	1.0
-14.0	-13.0	-13.5	1.0
-14.0	-13.0	-13.5	1.0
-14.0	-13.0	-13.5	1.0
-14.0	-12.0	-13.0	2.0
-14.0	-13.0	-13.5	1.0
-14.0	-13.0	-13.5	1.0
-14.0	-13.0	-13.5	1.0
-14.0	-13.0	-13.5	1.0
-14.0	-13.0	-13.5	1.0
-14.0	-13.0	-13.5	1.0
-14.0	-13.0	-13.5	1.0
-14.0	-13.0	-13.5	1.0
-14.0	-13.0	-13.5	1.0
-14.0	-13.0	-13.5	1.0
-14.0	-13.0	-13.5	1.0
-14.0	-13.0	-13.5	1.0
-14.0	-13.0	-13.5	1.0
-13.0	-1.0	-7.0	12.0
-13.0	-2.0	-7.5	11.0
-13.0	-12.0	-12.5	1.0
-13.0	-12.0	-12.5	1.0
-13.0	-12.0	-12.5	1.0
-13.0	-12.0	-12.5	1.0
-13.0	-11.0	-12.0	2.0
-13.0	-5.0	-9.0	8.0
-13.0	-12.0	-12.5	1.0
-13.0	-12.0	-12.5	1.0
-13.0	-12.0	-12.5	1.0
-13.0	-12.0	-12.5	1.0
-13.0	-12.0	-12.5	1.0
-13.0	-12.0	-12.5	1.0
-13.0	-12.0	-12.5	1.0
-13.0	-12.0	-12.5	1.0
-13.0	-2.0	-7.5	11.0
-13.0	-10.0	-11.5	3.0
-13.0	-12.0	-12.5	1.0
-13.0	-1.0	-7.0	12.0
-13.0	-12.0	-12.5	1.0
-13.0	-12.0	-12.5	1.0
-13.0	-12.0	-12.5	1.0
-13.0	-12.0	-12.5	1.0
-13.0	-12.0	-12.5	1.0
-13.0	-12.0	-12.5	1.0
-13.0	-12.0	-12.5	1.0
-13.0	-10.0	-11.5	3.0
-13.0	-2.0	-7.5	11.0
-13.0	-7.0	-10.0	6.0
-13.0	-10.0	-11.5	3.0
-13.0	-11.0	-12.0	2.0
-13.0	-12.0	-12.5	1.0
-13.0	-12.0	-12.5	1.0
-13.0	-12.0	-12.5	1.0
-13.0	-12.0	-12.5	1.0
-13.0	-12.0	-12.5	1.0
-13.0	-12.0	-12.5	1.0
-13.0	-12.0	-12.5	1.0
-13.0	-9.0	-11.0	4.0
-13.0	-10.0	-11.5	3.0
-12.0	-5.0	-8.5	7.0
-12.0	-11.0	-11.5	1.0
-12.0	-11.0	-11.5	1.0
-12.0	-5.0	-8.5	7.0
-12.0	-11.0	-11.5	1.0
-12.0	-4.0	-8.0	8.0
-12.0	-11.0	-11.5	1.0
-12.0	-11.0	-11.5	1.0
-12.0	-11.0	-11.5	1.0
-12.0	-11.0	-11.5	1.0
-12.0	-11.0	-11.5	1.0
-12.0	-11.0	-11.5	1.0
-12.0	-11.0	-11.5	1.0
-12.0	-11.0	-11.5	1.0
-12.0	-11.0	-11.5	1.0
-12.0	-4.0	-8.0	8.0
-12.0	-11.0	-11.5	1.0
-12.0	-11.0	-11.5	1.0
-12.0	1.0	-5.5	13.0
-12.0	-4.0	-8.0	8.0
-12.0	-10.0	-11.0	2.0
-12.0	-11.0	-11.5	1.0
-12.0	-7.0	-9.5	5.0
-12.0	-11.0	-11.5	1.0
-12.0	-2.0	-7.0	10.0
-12.0	-11.0	-11.5	1.0
-12.0	-11.0	-11.5	1.0
-12.0	-11.0	-11.5	1.0
-12.0	-11.0	-11.5	1.0
-12.0	-11.0	-11.5	1.0
-12.0	-11.0	-11.5	1.0
-12.0	-11.0	-11.5	1.0
-12.0	-8.0	-10.0	4.0
-12.0	-8.0	-10.0	4.0
-12.0	-9.0	-10.5	3.0
-12.0	-11.0	-11.5	1.0
-12.0	-8.0	-10.0	4.0
-12.0	-11.0	-11.5	1.0
-12.0	-11.0	-11.5	1.0
-12.0	-11.0	-11.5	1.0
-12.0	-11.0	-11.5	1.0
-12.0	-11.0	-11.5	1.0
-11.0	-1.0	-6.0	10.0
-11.0	-4.0	-7.5	7.0
-11.0	-10.0	-10.5	1.0
-11.0	-5.0	-8.0	6.0
-11.0	-10.0	-10.5	1.0
-11.0	-10.0	-10.5	1.0
-11.0	-10.0	-10.5	1.0
-11.0	-10.0	-10.5	1.0
-11.0	-10.0	-10.5	1.0
-11.0	-10.0	-10.5	1.0
-11.0	-10.0	-10.5	1.0
-11.0	-10.0	-10.5	1.0
-11.0	-1.0	-6.0	10.0
-11.0	-10.0	-10.5	1.0
-11.0	-2.0	-6.5	9.0
-11.0	-2.0	-6.5	9.0
-11.0	-10.0	-10.5	1.0
-11.0	-10.0	-10.5	1.0
-11.0	-10.0	-10.5	1.0
-11.0	-10.0	-10.5	1.0
-11.0	-10.0	-10.5	1.0
-11.0	-5.0	-8.0	6.0
-11.0	-5.0	-8.0	6.0
-11.0	-4.0	-7.5	7.0
-11.0	-10.0	-10.5	1.0
-11.0	-1.0	-6.0	10.0
-11.0	-7.0	-9.0	4.0
-11.0	-10.0	-10.5	1.0
-11.0	-10.0	-10.5	1.0
-11.0	-4.0	-7.5	7.0
-11.0	-10.0	-10.5	1.0
-11.0	-10.0	-10.5	1.0
-11.0	-10.0	-10.5	1.0
-11.0	-10.0	-10.5	1.0
-11.0	-10.0	-10.5	1.0
-11.0	-10.0	-10.5	1.0
-11.0	-10.0	-10.5	1.0
-11.0	1.0	-5.0	12.0
-11.0	-10.0	-10.5	1.0
-11.0	-10.0	-10.5	1.0
-11.0	-10.0	-10.5	1.0
-11.0	-10.0	-10.5	1.0
-11.0	-10.0	-10.5	1.0
-11.0	-10.0	-10.5	1.0
-11.0	-10.0	-10.5	1.0
-11.0	-2.0	-6.5	9.0
-11.0	-1.0	-6.0	10.0
-11.0	-7.0	-9.0	4.0
-11.0	-5.0	-8.0	6.0
-11.0	-10.0	-10.5	1.0
-11.0	-10.0	-10.5	1.0
-11.0	-10.0	-10.5	1.0
-11.0	-10.0	-10.5	1.0
-11.0	-8.0	-9.5	3.0
-11.0	-7.0	-9.0	4.0
-11.0	-10.0	-10.5	1.0
-11.0	-10.0	-10.5	1.0
-11.0	-10.0	-10.5	1.0
-11.0	-10.0	-10.5	1.0
-11.0	-10.0	-10.5	1.0
-11.0	-10.0	-10.5	1.0
-11.0	-10.0	-10.5	1.0
-11.0	-5.0	-8.0	6.0
-11.0	-10.0	-10.5	1.0
-11.0	-10.0	-10.5	1.0
-11.0	-10.0	-10.5	1.0
-11.0	-10.0	-10.5	1.0
